model,seed,n_samples,epochs,params,flops_m_per_sample,latency_ms_per_sample_cpu,train_time_s,accuracy,f1_macro,f1_binary,precision,recall
cmlp,1337,1000000,15,3402,0.00645,0.18318840768188238,150.9224725458771,0.99944,0.966605251338539,0.9997188162162705,0.9996284692934891,0.9998091794717284
cmlp,2024,1000000,15,3402,0.00645,0.18039470072835684,153.2468430385925,0.999595,0.9765553694336504,0.9997966178298369,0.999834274952919,0.9997589635432359
cmlp,31415,1000000,15,3402,0.00645,0.18771018832921982,150.66974524781108,0.9996,0.9766977109858571,0.999799134268698,0.9998292589839906,0.9997690113686578
cmlp,42,1000000,15,3402,0.00645,0.1870035007596016,150.36264682095498,0.999505,0.9714437733543693,0.9997514180470498,0.9998041372244738,0.9996987044290448
cmlp,7,1000000,15,3402,0.00645,0.18339246045798063,149.44449208164588,0.999595,0.9766090612000653,0.9997966157871345,0.9998543584489678,0.9997388797943176
cnn1d,1337,1000000,15,3742,0.118602,0.27092913165688515,124.53986780624837,0.999515,0.972585018172268,0.9997564178864606,0.9998995393880944,0.9996133373506076
cnn1d,2024,1000000,15,3742,0.118602,0.25523340329527855,121.59796156315133,0.99953,0.9728704923890186,0.9997639732837844,0.9998141824025714,0.9997137692075927
cnn1d,31415,1000000,15,3742,0.118602,0.2925502276048064,122.79511942015961,0.99954,0.973748128127397,0.9997689835275211,0.9998895005424518,0.9996484955610011
cnn1d,42,1000000,15,3742,0.118602,0.24135613348335028,117.26741743506864,0.99956,0.9744559961718827,0.9997790443668868,0.9998041480439913,0.9997539419503867
cnn1d,7,1000000,15,3742,0.118602,0.22262832149863243,125.60789315868169,0.999475,0.9698510209303559,0.999736347178036,0.999819194511549,0.9996535135732292
fkan,1337,1000000,15,3280,0.0,0.22722787223756313,132.87456298898906,0.999385,0.9658488682562745,0.999691103013378,0.9999145947520988,0.9994677111579793
fkan,2024,1000000,15,3280,0.0,0.2412898000329733,128.03074119100347,0.999665,0.9809786252851909,0.9998317559406475,0.9999547945411897,0.9997087476147434
fkan,31415,1000000,15,3280,0.0,0.236566630192101,129.70227063586935,0.999315,0.9601638499234924,0.9996560148440894,0.99969366591506,0.9996183666090869
fkan,42,1000000,15,3280,0.0,0.24315031245350838,133.5110334251076,0.99963,0.9788364771003017,0.9998141842689406,0.9999045724847316,0.9997238123932911
fkan,7,1000000,15,3280,0.0,0.23398839868605137,129.07424002187327,0.99968,0.9815499600646003,0.9998393001521627,0.9999045782358023,0.9997740305912364
kan,1337,1000000,15,3321,0.0,0.4733435669913888,151.18405862199143,0.99961,0.977793224582996,0.999804136240822,0.999914614055531,0.9996936828361956
kan,2024,1000000,15,3321,0.0,0.4895098740234971,153.86553040100262,0.9997,0.9827425406055508,0.9998493423794864,0.9999146217744609,0.9997840715074822
kan,31415,1000000,15,3321,0.0,0.6565732415765524,148.79056493425742,0.999645,0.9795436785615466,0.9998217231586639,0.9998995545243153,0.9997439039087294
kan,42,1000000,15,3321,0.0,0.8294643368571997,154.36727932002395,0.99966,0.980463826004307,0.9998292538392777,0.9998995540198481,0.9997589635432359
kan,7,1000000,15,3321,0.0,0.4803602769970894,147.59726072615013,0.999665,0.9807181753033714,0.999831766079522,0.9999045767980995,0.9997589659639855
mlp,1337,1000000,15,3327,0.00325,0.03633128013461828,102.44792227074504,0.999685,0.982073875479804,0.9998418019511093,0.9999547954494086,0.9997288339861404
mlp,2024,1000000,15,3327,0.00325,0.036864541471004486,112.75184552976862,0.99958,0.9758395568477711,0.999789079331281,0.9998543547917274,0.9997238123932911
mlp,31415,1000000,15,3327,0.00325,0.037972801364958286,111.2948115952313,0.999645,0.9795202819006082,0.9998217240539448,0.9998945333098963,0.999748925400715
mlp,42,1000000,15,3327,0.00325,0.0369375990703702,115.19851041864604,0.999655,0.9802776267321083,0.9998267389508416,0.9999196395835321,0.9997338555789896
mlp,7,1000000,15,3327,0.00325,0.036156391724944115,109.43746339902282,0.99963,0.9786182585890354,0.9998141926671387,0.9998694254720771,0.9997589659639855
